県名,人口
東京都,"13,843,403"
神奈川県,"9,179,835"
大阪府,"8,824,566"
愛知県,"7,539,185"
埼玉県,"7,322,645"
千葉県,"6,268,585"
兵庫県,"5,483,450"
北海道,"5,285,430"
福岡県,"5,111,494"
静岡県,"3,656,487"
茨城県,"2,882,943"
広島県,"2,819,962"
京都府,"2,591,779"
宮城県,"2,313,215"
新潟県,"2,245,057"
長野県,"2,063,403"
岐阜県,"1,999,406"
栃木県,"1,952,926"
群馬県,"1,949,440"
岡山県,"1,899,739"
福島県,"1,865,143"
三重県,"1,790,376"
熊本県,"1,756,442"
鹿児島県,"1,612,800"
沖縄県,"1,448,101"
滋賀県,"1,412,881"
山口県,"1,368,495"
愛媛県,"1,351,510"
奈良県,"1,340,070"
長崎県,"1,339,438"
青森県,"1,262,686"
岩手県,"1,240,522"
石川県,"1,142,965"
大分県,"1,142,943"
山形県,"1,089,806"
宮崎県,"1,079,873"
富山県,"1,050,246"
秋田県,"980,694"
香川県,"961,900"
和歌山県,"934,051"
佐賀県,"819,110"
山梨県,"818,391"
福井県,"773,731"
徳島県,"736,475"
高知県,"705,880"
島根県,"679,626"
鳥取県,"560,517"
